caseid,age,parents_divorced,parents_separated,ever_married,intention_to_marry,num_marriages,separate_or_divorce
315,48,11,10,No,"NA",0,2
316,40,NA,NA,No,"NA",0,1
317,80,NA,NA,Yes,"NA",1,1
318,29,NA,NA,No,"NA",0,0
319,18,NA,NA,No,"NA",0,0
320,74,NA,NA,Yes,"No, Definitely not",1,0
321,44,7,4,Yes,"NA",1,1
322,26,NA,7,No,Definitely Yes,0,1
323,61,NA,NA,Yes,"NA",1,1
324,51,NA,NA,Yes,Unsure,1,0
325,31,NA,NA,Yes,"NA",1,1
326,80,NA,NA,No,"No, Definitely not",0,0
327,70,NA,NA,Yes,"No, Definitely not",1,1
328,63,NA,NA,Yes,"NA",1,0
329,26,13,13,No,"NA",0,0
330,58,NA,NA,No,Probably Not,0,1
331,34,NA,NA,Yes,"NA",1,0
332,39,NA,NA,Yes,"NA",1,0
333,39,3,2,No,"No, Definitely not",0,0
334,42,NA,NA,No,Probably Yes,0,1
335,52,NA,NA,No,"NA",0,0
336,20,NA,NA,No,Definitely Yes,0,0
337,58,NA,NA,Yes,"NA",1,1
338,61,16,14,Yes,"NA",1,0
339,57,NA,NA,No,"NA",0,0
340,69,NA,NA,Yes,"NA",1,0
341,62,NA,NA,Yes,"NA",2,1
342,48,NA,10,Yes,"NA",1,2
343,59,NA,NA,Yes,"NA",1,0
344,40,NA,NA,Yes,"NA",1,0
345,44,NA,NA,Yes,"NA",1,1
346,72,NA,NA,Yes,"No, Definitely not",1,1
347,24,NA,NA,No,Unsure,0,0
348,40,NA,NA,Yes,"NA",1,0
349,46,NA,NA,Yes,"NA",1,0
350,37,NA,NA,Yes,"NA",1,0
351,48,NA,NA,No,"NA",0,0
352,40,17,16,Yes,"NA",1,0
353,32,NA,NA,Yes,"NA",1,0
354,48,NA,NA,Yes,"NA",1,1
355,58,NA,NA,Yes,"NA",2,2
356,79,18,17,Yes,Probably Not,1,1
357,21,NA,10,No,Probably Yes,0,1
358,61,NA,NA,Yes,"No, Definitely not",1,1
359,53,NA,NA,Yes,"NA",1,0
360,38,NA,NA,Yes,"NA",1,0
361,76,35,35,Yes,"NA",1,1
362,72,NA,NA,Yes,"NA",1,0
363,69,NA,NA,Yes,"NA",1,0
364,69,NA,NA,Yes,"NA",1,1
365,51,NA,NA,Yes,"NA",1,0
366,37,NA,NA,Yes,"NA",1,0
367,36,NA,NA,No,Probably Yes,0,0
368,78,NA,NA,Yes,"No, Definitely not",1,0
369,27,7,7,No,"NA",0,1
370,80,NA,NA,Yes,"No, Definitely not",1,0
371,24,NA,NA,No,Probably Yes,0,0
372,61,21,5,Yes,"No, Definitely not",1,1
373,56,NA,NA,Yes,"NA",2,1
374,39,NA,NA,Yes,"NA",1,0
375,55,NA,NA,Yes,"NA",1,1
376,59,NA,NA,Yes,"NA",1,1
377,38,NA,6,No,"NA",0,0
378,61,34,33,Yes,"NA",1,0
379,62,NA,NA,Yes,Probably Not,1,0
380,32,NA,NA,Yes,"NA",1,0
381,40,NA,NA,Yes,"NA",1,1
382,73,NA,NA,Yes,"NA",1,0
383,30,NA,NA,No,Probably Yes,0,1
384,19,NA,NA,No,"NA",0,0
385,62,NA,NA,Yes,"No, Definitely not",2,1
386,28,NA,11,No,"No, Definitely not",0,0
387,46,9,8,Yes,"NA",1,0
388,36,NA,NA,Yes,"NA",1,0
389,22,NA,12,No,"NA",0,0
390,80,NA,NA,Yes,Probably Not,1,0
391,47,NA,NA,Yes,"NA",1,0
392,63,NA,NA,Yes,"No, Definitely not",1,3
393,56,NA,NA,Yes,"NA",2,3
394,37,NA,NA,Yes,"NA",1,0
395,72,NA,NA,Yes,"No, Definitely not",1,1
396,23,NA,NA,No,Definitely Yes,0,0
397,50,NA,NA,No,"NA",0,0
398,36,NA,6,Yes,"NA",1,0
399,56,16,15,Yes,"NA",1,0
400,60,NA,NA,No,Probably Not,0,0
401,68,NA,NA,Yes,"NA",1,0
402,65,NA,2,Yes,"No, Definitely not",1,1
403,20,NA,NA,No,Definitely Yes,0,0
404,37,NA,NA,Yes,"NA",1,0
